iter	MultiClass
0	0.6378973458
1	0.593119115
2	0.5549048861
3	0.5232533076
4	0.4963576545
5	0.4746539343
6	0.455802436
7	0.4393011227
8	0.4273608055
9	0.4161714995
10	0.4051669133
11	0.3952904265
12	0.3866908497
13	0.3800257394
14	0.3742134347
15	0.3696920124
16	0.364903404
17	0.3615829484
18	0.3573878039
19	0.3540664868
20	0.3520324322
21	0.3491638336
22	0.3465993879
23	0.3447433766
24	0.3436983137
25	0.3419407497
26	0.3405784594
27	0.3390554362
28	0.3377864211
29	0.3366184754
30	0.3355476851
31	0.3346829198
32	0.3338217895
33	0.3329781009
34	0.3322039512
35	0.331911792
36	0.3316710286
37	0.3310626822
38	0.3305257383
39	0.330208993
40	0.3295923293
41	0.3292879272
42	0.3290061179
43	0.3289258347
44	0.3288999855
45	0.3285402689
46	0.328295177
47	0.3279863175
48	0.3278361152
49	0.3277698569
50	0.3275642241
51	0.3274052877
52	0.3271381322
53	0.326660362
54	0.3264389624
55	0.32626692
56	0.3259525976
57	0.3256711123
58	0.325616978
59	0.3255065713
60	0.3253411235
61	0.3251477573
62	0.3251419283
63	0.3251375569
64	0.3248986349
65	0.3248206179
66	0.324522569
67	0.3244128069
68	0.3242667148
69	0.3239970611
70	0.3238827743
71	0.3237073253
72	0.3236163796
73	0.3235317608
74	0.3234654448
75	0.323404423
76	0.3233079322
77	0.3231824548
78	0.3231483337
79	0.3231474124
80	0.3230594025
81	0.3229622506
82	0.3228608994
83	0.3227614912
84	0.3226168734
85	0.3225471108
86	0.3224374864
87	0.3223617644
88	0.3223113653
89	0.322234148
90	0.3221330557
91	0.3220415093
92	0.3219582964
93	0.3218658919
94	0.3216717404
95	0.3215885334
96	0.3215274039
97	0.3214481942
98	0.3213434073
99	0.3212941409
100	0.3211208102
101	0.321064571
102	0.3209434293
103	0.3208997392
104	0.3208581559
105	0.3208080879
106	0.3206989917
107	0.3206412856
108	0.3206046145
109	0.3205476144
110	0.3205137536
111	0.320438895
112	0.32037995
113	0.3202925408
114	0.3202288141
115	0.3201956681
116	0.3201660913
117	0.3201324335
118	0.3201111903
119	0.3200698322
120	0.3200423754
121	0.3200037827
122	0.3199740793
123	0.3199200675
124	0.3198973773
125	0.3198447091
126	0.3198175922
127	0.3197780427
128	0.3197573445
129	0.3196586828
130	0.3195761138
131	0.3195435528
132	0.3195127409
133	0.3194942182
134	0.3194717599
135	0.3194365974
136	0.3194153594
137	0.3193825698
138	0.3193392865
139	0.3193162246
140	0.3192900864
141	0.3192654836
142	0.3192527927
143	0.3192178458
144	0.3192005625
145	0.319182417
146	0.3191223509
147	0.3191047939
148	0.319070199
149	0.3190162014
150	0.3189949913
151	0.3189751541
152	0.3189591997
153	0.318915367
154	0.3188751746
155	0.3188486066
156	0.3188320721
157	0.3187804315
158	0.3187615037
159	0.3187260761
160	0.3186925898
161	0.3186536211
162	0.3186379918
163	0.3186203222
