iter	Passed	Remaining
0	148	74271
1	151	37705
2	152	25305
3	155	19223
4	156	15489
5	158	13025
6	159	11236
7	161	9916
8	162	8886
9	164	8080
10	166	7416
11	169	6880
12	171	6408
13	172	5986
14	174	5642
15	175	5320
16	177	5032
17	179	4814
18	181	4600
19	183	4408
20	184	4216
21	187	4063
22	188	3916
23	190	3769
24	190	3627
25	192	3513
26	194	3411
27	196	3315
28	198	3225
29	200	3140
30	202	3061
31	204	2988
32	206	2917
33	207	2850
34	209	2785
35	211	2719
36	212	2655
37	213	2596
38	215	2542
39	216	2490
40	218	2441
41	219	2393
42	220	2348
43	221	2300
44	222	2253
45	224	2216
46	226	2182
47	228	2147
48	229	2111
49	230	2078
50	232	2047
51	234	2016
52	235	1987
53	237	1958
54	238	1929
55	240	1904
56	242	1881
57	243	1856
58	245	1831
59	246	1808
60	247	1784
61	249	1762
62	250	1736
63	251	1711
64	252	1690
65	254	1670
66	255	1651
67	257	1636
68	259	1618
69	260	1600
70	261	1582
71	263	1566
72	265	1550
73	266	1533
74	267	1517
75	269	1501
76	270	1488
77	272	1474
78	273	1459
79	274	1441
80	276	1428
81	277	1415
82	279	1403
83	280	1390
84	282	1377
85	283	1364
86	284	1352
87	286	1342
88	288	1332
89	290	1321
90	291	1311
91	293	1300
92	294	1289
93	295	1278
94	297	1268
95	298	1258
96	300	1248
97	302	1239
98	303	1229
99	305	1220
100	306	1211
101	308	1201
102	309	1192
103	310	1183
104	312	1175
105	313	1166
106	315	1157
107	317	1151
108	320	1150
109	322	1142
110	323	1134
111	325	1126
112	326	1119
113	328	1111
114	329	1104
115	331	1096
116	332	1089
117	334	1083
118	336	1075
119	337	1068
120	338	1061
121	340	1054
122	341	1047
123	343	1041
124	344	1034
125	346	1028
126	347	1021
127	349	1015
128	351	1009
129	352	1004
130	354	998
131	356	992
132	357	986
133	359	980
134	360	975
135	362	969
136	363	963
137	365	958
138	367	953
139	368	947
140	370	942
141	371	936
142	372	931
143	374	926
144	376	921
145	378	916
146	379	912
147	381	907
148	383	902
149	384	897
150	386	892
151	387	887
152	388	882
153	390	877
154	391	872
155	393	867
156	394	862
157	396	858
158	398	854
159	399	849
160	401	845
161	403	841
162	404	837
163	406	832
164	407	828
165	409	823
166	411	819
167	412	815
168	414	811
169	415	807
170	417	803
171	418	798
172	420	794
173	421	790
174	423	785
175	424	781
176	426	777
177	427	773
178	429	770
179	430	766
180	432	762
181	434	758
182	435	754
183	437	750
184	438	746
185	439	742
186	441	738
187	442	734
188	444	731
189	446	728
190	447	724
191	449	720
192	450	716
193	452	713
194	453	709
195	454	705
196	456	702
197	457	698
198	460	695
199	461	692
200	463	689
201	464	685
202	466	681
203	467	678
204	469	674
205	470	671
206	472	668
207	474	665
208	475	662
209	477	658
210	478	655
211	479	652
212	481	648
213	482	645
214	484	641
215	485	638
216	487	635
217	488	632
218	490	629
219	492	626
220	493	623
221	495	619
222	496	616
223	497	613
224	499	610
225	500	607
226	502	604
227	503	601
228	505	598
229	506	595
230	508	592
231	509	589
232	511	586
233	512	582
234	514	579
235	515	576
236	517	574
237	519	571
238	520	568
239	523	567
240	525	564
241	526	561
242	528	558
243	529	555
244	531	552
245	532	550
246	534	547
247	536	544
248	537	542
249	539	539
250	540	536
251	542	533
252	543	530
253	544	527
254	546	525
255	548	522
256	549	519
257	551	517
258	553	514
259	554	512
260	556	509
261	557	506
262	559	503
263	560	501
264	562	498
265	563	495
266	565	493
267	566	490
268	568	487
269	569	485
270	571	482
271	572	480
272	574	477
273	576	475
274	577	472
275	579	469
276	580	467
277	582	464
278	583	462
279	585	460
280	587	457
281	589	455
282	590	453
283	592	450
284	594	448
285	595	445
286	597	443
287	598	440
288	600	438
289	602	436
290	604	433
291	605	431
292	607	428
293	608	426
294	610	423
295	611	421
296	613	419
297	615	417
298	616	414
299	618	412
300	619	409
301	621	407
302	622	404
303	624	402
304	625	400
305	627	397
306	628	395
307	630	392
308	631	390
309	633	388
310	635	385
311	636	383
312	637	381
313	639	378
314	640	376
315	642	373
316	644	371
317	645	369
318	647	367
319	648	365
320	650	362
321	651	360
322	653	357
323	654	355
324	656	353
325	657	350
326	659	348
327	660	346
328	662	344
329	663	342
330	665	339
331	666	337
332	668	335
333	669	332
334	670	330
335	672	328
336	673	325
337	675	323
338	677	321
339	679	319
340	681	317
341	683	315
342	685	313
343	687	311
344	688	309
345	691	307
346	694	306
347	696	304
348	697	301
349	699	299
350	701	297
351	703	295
352	705	293
353	707	291
354	709	289
355	711	287
356	712	285
357	714	283
358	716	281
359	718	279
360	721	277
361	724	276
362	726	274
363	728	272
364	731	270
365	733	268
366	735	266
367	737	264
368	739	262
369	741	260
370	742	258
371	744	256
372	747	254
373	749	252
374	751	250
375	752	248
376	754	246
377	756	244
378	758	242
379	760	240
380	762	238
381	764	236
382	766	234
383	768	232
384	770	230
385	771	227
386	773	225
387	775	223
388	777	221
389	778	219
390	780	217
391	782	215
392	784	213
393	786	211
394	788	209
395	790	207
396	792	205
397	794	203
398	796	201
399	798	199
400	800	197
401	802	195
402	804	193
403	806	191
404	808	189
405	810	187
406	812	185
407	814	183
408	816	181
409	818	179
410	819	177
411	821	175
412	822	173
413	824	171
414	825	169
415	827	167
416	828	164
417	830	162
418	831	160
419	833	158
420	834	156
421	836	154
422	837	152
423	839	150
424	840	148
425	842	146
426	844	144
427	846	142
428	847	140
429	849	138
430	850	136
431	852	134
432	853	132
433	855	130
434	856	128
435	858	125
436	860	124
437	862	122
438	863	119
439	865	117
440	866	115
441	868	113
442	869	111
443	871	109
444	872	107
445	874	105
446	876	103
447	877	101
448	879	99
449	880	97
450	882	95
451	883	93
452	885	91
453	886	89
454	888	87
455	889	85
456	891	83
457	892	81
458	894	79
459	895	77
460	897	75
461	899	73
462	900	71
463	902	70
464	903	68
465	905	66
466	907	64
467	909	62
468	910	60
469	912	58
470	914	56
471	916	54
472	917	52
473	919	50
474	921	48
475	923	46
476	925	44
477	927	42
478	928	40
479	930	38
480	932	36
481	934	34
482	935	32
483	937	30
484	939	29
485	941	27
486	943	25
487	944	23
488	946	21
489	948	19
490	950	17
491	952	15
492	954	13
493	956	11
494	958	9
495	960	7
496	961	5
497	963	3
498	965	1
499	967	0
